,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
1000,random-10-0.00-0,CP-ADD,10,0,0,0,0,0,0,0,0,0,0,-1,,
1001,random-10-1.30-0,CP-ADD,10,0,0,0,0,0.0,0.21,0,0,1,0,-1,,
1002,random-10-2.50-0,CP-ADD,10,0,0,0,0,124.0,0.71,0,0,1651,3320,-1,,
1004,random-10-3.80-0,CP-ADD,10,497.0,0.32,0.04852320675105485,474.0,474.0,2.58,0,0,31204,31942,8.626347866854195e-06,474.0,0.0
1015,random-10-5.00-0,CP-ADD,10,461.0,0.0,0.26301369863013696,365.0,365.0,1.53,0,0,24633,23503,0.0,365.0,0.0
1003,burma14-3.1,CP-ADD,14,41.0,0.36,0.0,41.0,41.0,1.81,0,0,8010,14845,0.0,41.0,0.0
1024,random-20-2.60-0,CP-ADD,20,0,0,0,0,234.0,37.66,0,0,21198,34234,-1,,
1021,random-20-7.60-0,CP-ADD,20,1002.0,0.22,0.8764044943820225,534.0,534.0,359.88,0,0,1641931,2781103,0.004440771951727007,534.0,0.0
1020,random-20-0.00-0,CP-ADD,20,0,0,0,0,0,0,0,0,0,0,-1,,
1018,random-20-10.00-0,CP-ADD,20,874.0,0.1,0.9954337899543378,438.0,438.0,895.82,0,0,4483499,7550028,0.007068759512937594,438.0,0.0
1014,random-20-5.00-0,CP-ADD,20,996.0,0.55,0.5514018691588785,642.0,642.0,87.63,0,0,461476,768250,0.0010592852197992381,642.0,0.0
1005,ulysses22-5.5,CP-ADD,22,141.0,7.24,0.2818181818181818,110.0,110.0,20.86,0,0,101511,144080,0.0013987878787878783,110.0,0.0
1027,random-30-5.00-0,CP-ADD,30,1691.0,565.54,0.3517186250999201,1251.0,1251.0,1132.13,0,0,1482856,2414415,0.12350257127631228,1251.0,0.0
1026,random-30-10.00-0,CP-ADD,30,998.0,0.29,0.5144157814871017,659.0,299.0,1800.03,0,0,4084432,7370023,0.03155712358792784,659.0,0.0
1023,random-30-0.00-0,CP-ADD,30,0,0,0,0,0,0,0,0,0,0,-1,,
1019,random-30-2.60-0,CP-ADD,30,0,0,0,0,0.0,0.1,0,0,1,0,-1,,
1017,random-30-7.60-0,CP-ADD,30,1064.0,0.34,0.288135593220339,826.0,301.0,1800.04,0,0,3416430,6032336,0.012455434490180254,826.0,0.0
1036,random-40-9.60-0,CP-ADD,40,2105.0,1.13,0.8464912280701754,1140.0,243.0,1800.22,0,0,3882952,7891091,0.00613020955165692,1140.0,0.0
1039,random-40-12.00-0,CP-ADD,40,2021.0,0.84,1.2682379349046016,891.0,343.0,1800.09,0,0,2690749,4441248,0.04826600573637609,891.0,0.0
1022,random-40-7.00-0,CP-ADD,40,0,0,0,0,128.0,1800.0,0,0,380391,767024,-1,,
1025,random-40-4.60-0,CP-ADD,40,0,0,0,0,356.0,1579.32,0,0,44619,55165,-1,,
1016,random-40-2.00-0,CP-ADD,40,0,0,0,0,0,0,0,0,0,0,-1,,
1033,random-50-4.60-0,CP-ADD,50,0,0,0,0,236.0,1800.0,0,0,15008,30584,-1,,
1040,random-50-7.00-0,CP-ADD,50,0,0,0,0,135.0,1800.0,0,0,164844,335255,-1,,
1037,random-50-9.60-0,CP-ADD,50,0,0,0,0,55.0,1800.0,0,0,147345,302043,-1,,
1030,random-50-2.00-0,CP-ADD,50,0,0,0,0,0.0,0.52,0,0,1,0,-1,,
1029,random-50-12.00-0,CP-ADD,50,2229.0,473.77,0.5598320503848845,1429.0,77.0,1800.26,0,0,1888236,3804630,0.4653774978617525,1429.0,0.0
1006,berlin52-13.2,CP-ADD,52,0,0,0,0,898.0,1800.0,0,0,95405,196252,-1,,
1031,random-60-4.00-0,CP-ADD,60,0,0,0,0,302.0,1800.0,0,0,11178,23106,-1,,
1035,random-60-9.00-0,CP-ADD,60,0,0,0,0,121.0,1800.0,0,0,88934,183777,-1,,
1041,random-60-6.60-0,CP-ADD,60,0,0,0,0,238.0,1800.0,0,0,91565,186955,-1,,
1038,random-60-11.60-0,CP-ADD,60,0,0,0,0,31.0,1800.0,0,0,116118,241647,-1,,
1028,random-60-14.00-0,CP-ADD,60,2854.0,497.38,0.0,2854.0,90.0,1800.0,0,0,4113173,8236060,0.0,2854.0,0.0
1050,random-70-16.00-0,CP-ADD,70,0,0,0,0,18.0,1800.0,0,0,102422,216334,-1,,
1046,random-70-10.00-0,CP-ADD,70,0,0,0,0,106.0,1800.0,0,0,23586,52180,-1,,
1055,random-70-13.12-0,CP-ADD,70,0,0,0,0,36.0,1800.0,0,0,76597,162321,-1,,
1034,random-70-4.00-0,CP-ADD,70,0,0,0,0,362.0,1800.0,0,0,10802,22881,-1,,
1032,random-70-7.12-0,CP-ADD,70,0,0,0,0,222.0,1800.0,0,0,114210,234455,-1,,
1054,random-80-16.00-0,CP-ADD,80,0,0,0,0,16.0,1800.0,0,0,20826,50804,-1,,
1052,random-80-13.12-0,CP-ADD,80,0,0,0,0,72.0,1800.0,0,0,53414,116812,-1,,
1043,random-80-7.12-0,CP-ADD,80,0,0,0,0,197.0,1800.0,0,0,72068,150232,-1,,
1047,random-80-10.00-0,CP-ADD,80,0,0,0,0,128.0,1800.0,0,0,30029,66751,-1,,
1045,random-80-4.00-0,CP-ADD,80,0,0,0,0,329.0,1800.0,0,0,9485,20475,-1,,
1051,random-90-13.00-0,CP-ADD,90,0,0,0,0,77.0,1800.0,0,0,43734,97655,-1,,
